b,seqid,name
GCF_002090315,NZ_CP020693.1,Mycoplasma pneumoniae S91-tet-R
GCF_000331085,NC_020076.2,Mycoplasma pneumoniae M129-B7
GCF_002128185,NZ_CP017334.1,Mycoplasma pneumoniae K27  
GCF_002128005,NZ_CP017329.1,Mycoplasma pneumoniae E57  
GCF_002128235,NZ_CP017338.1,Mycoplasma pneumoniae 1134  
GCF_001509195,NZ_CP013829.1,Mycoplasma pneumoniae S355  
GCF_001272835,NZ_CP010546.1,
GCF_002128065,NZ_CP017332.1,Mycoplasma pneumoniae E16  
GCF_000319655,NZ_CP010551.1,Mycoplasma pneumoniae PO1  
GCF_002128125,NZ_CP017342.1,Mycoplasma pneumoniae CO3  
GCF_000319675,NZ_CP010538.1,Mycoplasma pneumoniae PI1428  
GCF_002128085,NZ_CP017340.1,Mycoplasma pneumoniae RI3  
GCF_002090275,NZ_CP020691.1,Mycoplasma pneumoniae S68-tet-R  
GCF_001272815,NZ_CP010545.1,Mycoplasma pneumoniae 85138  
GCF_001272735,NZ_CP010541.1,Mycoplasma pneumoniae 51494  
GCF_001272715,NZ_CP010540.1,Mycoplasma pneumoniae 39443  
GCF_002127985,NZ_CP017328.1,Mycoplasma pneumoniae 685  
GCF_000283755,NC_016807.1,Mycoplasma pneumoniae 309  
GCF_002096035,NZ_CP020712.1,Mycoplasma pneumoniae S12-tet-R  
GCF_002128025,NZ_CP017330.1,Mycoplasma pneumoniae 549  
GCF_001272875,NZ_CP010548.1,Mycoplasma pneumoniae M2192  
GCF_002128105,NZ_CP017341.1,Mycoplasma pneumoniae 1801  
GCF_002090215,NZ_CP020689.1,Mycoplasma pneumoniae S63-tet-R  
GCF_002128165,NZ_CP017335.1,Mycoplasma pneumoniae CO103  
GCF_000143945,NC_017504.1,Mycoplasma pneumoniae FH  
GCF_001272895,NZ_CP010549.1,Mycoplasma pneumoniae M2592  
GCF_001272775,NZ_CP010543.1,Mycoplasma pneumoniae 54524  
GCF_001901705,NZ_CP017327.1,Mycoplasma pneumoniae FH2009  
GCF_002128205,NZ_CP017337.1,Mycoplasma pneumoniae 1006  
GCF_002090295,NZ_CP020692.1,Mycoplasma pneumoniae S55-tet-R  
GCF_001272855,NZ_CP010547.1,Mycoplasma pneumoniae M1139  
GCF_002128285,NZ_CP017336.1,Mycoplasma pneumoniae GA3  
GCF_002096015,NZ_CP020710.1,Mycoplasma pneumoniae S34-tet-R  
GCF_002128145,NZ_CP017333.1,Mycoplasma pneumoniae FL1  
GCF_001272915,NZ_CP010550.1,Mycoplasma pneumoniae MAC  
GCF_002095995,NZ_CP020711.1,Mycoplasma pneumoniae S4-tet-R  
GCF_000027345,NC_000912.1,Mycoplasma pneumoniae M129  
GCF_001272755,NZ_CP010542.1,Mycoplasma pneumoniae 54089  
GCF_002128265,NZ_CP017339.1,Mycoplasma pneumoniae 519  
GCF_002090235,NZ_CP020690.1,Mycoplasma pneumoniae FH-tet-R  
GCF_001272795,NZ_CP010544.1,Mycoplasma pneumoniae 85084  
GCF_001558175,NZ_CP014267.1,Mycoplasma pneumoniae C267  
GCF_002128045,NZ_CP017331.1,Mycoplasma pneumoniae FL8  
GCF_002147855,NZ_CP017343.1,Mycoplasma pneumoniae M129 2002
