id,sample,p,runtime,memorypick
1,0,0.98,439.05,1319920
2,0,0.99,439.38,1320204
3,0,0.995,434.33,1319700
4,1,0.98,478.80,1372392
5,1,0.99,479.30,1372260
6,1,0.995,500.45,1372408
7,2,0.98,524.97,1413112
8,2,0.99,524.84,1413572
9,2,0.995,523.76,1413724
10,3,0.98,530.82,1440760
11,3,0.99,595.16,1441028
12,3,0.995,595.24,1440688
13,4,0.98,481.64,1370272
14,4,0.99,503.52,1370220
15,4,0.995,492.20,1370776
16,5,0.98,499.36,1384272
17,5,0.99,487.23,1383676
18,5,0.995,486.98,1384028
19,6,0.98,456.28,1348800
20,6,0.99,456.17,1349016
21,6,0.995,453.17,1348956
22,7,0.98,462.25,1349780
23,7,0.99,462.82,1350656
24,7,0.995,462.42,1350592
25,8,0.98,450.70,1340928
26,8,0.99,454.15,1340100
27,8,0.995,453.35,1340760
28,9,0.98,501.24,1382600
29,9,0.99,495.07,1383264
30,9,0.995,495.64,1382996
