id,sample,p,runtime,memorypick
1,0,0.25,1290.19,1147072
2,0,0.5,1516.00,1146968
3,0,1,1282.92,1146788
4,0,2,1277.51,1146768
5,0,4,1304.65,1146960
6,1,0.25,1180.83,1216632
7,1,0.5,1181.17,1215936
8,1,1,1184.18,1217344
9,1,2,1191.38,1215884
10,1,4,1181.24,1216056
11,2,0.25,1097.65,1160208
12,2,0.5,1101.59,1160000
13,2,1,1128.96,1151112
14,2,2,1116.33,1160084
15,2,4,1095.83,1150760
16,3,0.25,1146.36,1193832
17,3,0.5,1150.36,1182084
18,3,1,1144.22,1182984
19,3,2,1142.84,1182408
20,3,4,1137.12,1181964
21,4,0.25,1254.06,1200676
22,4,0.5,1238.49,1195872
23,4,1,1247.47,1200904
24,4,2,1251.08,1200740
25,4,4,1290.27,1200948
26,5,0.25,1398.86,1202688
27,5,0.5,1402.87,1202476
28,5,1,1400.97,1202008
29,5,2,1413.86,1202988
30,5,4,1396.14,1213136
31,6,0.25,1217.90,1199480
32,6,0.5,1227.44,1200928
33,6,1,1253.24,1208508
34,6,2,1225.07,1205448
35,6,4,1220.40,1199552
36,7,0.25,1207.88,1214296
37,7,0.5,1202.67,1198344
38,7,1,1199.84,1214236
39,7,2,1207.00,1197332
40,7,4,1199.13,1197340
41,8,0.25,1215.81,1147864
42,8,0.5,1214.60,1145276
43,8,1,1217.74,1156004
44,8,2,1212.37,1145120
45,8,4,1208.72,1144920
46,9,0.25,1170.03,1206344
47,9,0.5,1174.70,1205988
48,9,1,1168.35,1206520
49,9,2,1170.93,1218144
50,9,4,1163.08,1206856
