0,"[0.557, 0.557, 0.641, 0.641, 0.641, 0.643, 0.645, 0.645, 0.646, 0.646, 0.646, 0.646, 0.646, 0.647, 0.647, 0.648, 0.648, 0.648, 0.648, 0.648, 0.651, 0.652, 0.672, 0.672, 0.674, 0.675, 0.675, 0.675, 0.682, 0.682, 0.966, 0.966, 0.966, 0.966, 0.966, 0.966, 0.968, 0.968, 0.968, 0.969, 0.969, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.972, 0.972, 0.997, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.641,first child
0,"[0.633, 1.0]",0.641,1.0,"gap not found, take first to the right"
0,[1.0],-1,1.0,single comp
1,"[0.641, 0.641, 0.641, 0.643, 0.645, 0.645, 0.646, 0.646, 0.646, 0.646, 0.646, 0.647, 0.647, 0.648, 0.648, 0.648, 0.648, 0.648, 0.651, 0.652, 0.672, 0.672, 0.674, 0.675, 0.675, 0.675, 0.682, 0.682, 0.966, 0.966, 0.966, 0.966, 0.966, 0.966, 0.968, 0.968, 0.968, 0.969, 0.969, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.97, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.971, 0.972, 0.972, 0.997, 0.999, 0.999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",-1,0.672,first child
1,"[0.582, 0.582, 0.583, 0.584, 0.585, 0.586, 0.586, 0.594, 0.595, 0.865, 0.866, 0.881, 0.956, 0.973, 0.973, 0.975, 1.0, 1.0, 1.0, 1.0]",0.672,0.865,"gap not found, take first to the right"
1,"[0.915, 0.917, 0.918, 0.925, 0.931, 0.931, 0.968, 1.0, 1.0]",0.672,0.915,1 anti_granular_guard < all compatibilities
6,"[0.915, 0.917, 0.918, 0.925, 0.931, 0.931, 0.968, 1.0, 1.0]",-1,0.968,first child
6,"[0.905, 0.925, 0.931, 0.939, 0.996, 1.0]",0.968,0.925,gap found before anti_granular_guard
6,[1.0],-1,1.0,single comp
8,"[0.925, 0.931, 0.939, 0.996, 1.0]",-1,0.996,first child
