/usr/bin/python3.5 /home/meoke/Repos/pang/src/pangenome.py mln -f files/mycoplasma2/alignment.maf -format maf -m all -data mycoplasma
Building multialignment from /home/meoke/Repos/pang/tests/files/mycoplasma2/alignment.maf...
block: 0, +: 18, -:3, ,
block: 1, +: 18, -:3, ,
block: 2, +: 17, -:4, ,
block: 3, +: 6, -:3, ,
block: 4, +: 11, -:1, ,
block: 5, +: 18, -:3, ,
block: 6, +: 17, -:4, ,
block: 7, +: 12, -:0, ,
block: 8, +: 14, -:7, ,
block: 9, +: 11, -:1, ,
block: 10, +: 12, -:0, ,
block: 11, +: 11, -:1, ,
block: 12, +: 11, -:1, ,
block: 13, +: 6, -:3, ,
block: 14, +: 11, -:1, ,
block: 15, +: 6, -:3, ,
block: 16, +: 6, -:3, ,
block: 17, +: 6, -:3, ,
block: 18, +: 12, -:0, ,
block: 19, +: 6, -:3, ,
block: 20, +: 6, -:3, ,
block: 21, +: 11, -:1, ,
block: 22, +: 2, -:0, ,
block: 23, +: 12, -:0, ,
block: 24, +: 11, -:1, ,
block: 25, +: 11, -:1, ,
block: 26, +: 12, -:0, ,
block: 27, +: 12, -:0, ,
block: 28, +: 12, -:0, ,
block: 29, +: 18, -:3, ,
block: 30, +: 2, -:0, ,
block: 31, +: 11, -:1, ,
block: 32, +: 6, -:3, ,
block: 33, +: 6, -:3, ,
block: 34, +: 2, -:0, ,
block: 35, +: 11, -:1, ,
block: 36, +: 2, -:0, ,
block: 37, +: 2, -:0, ,
block: 38, +: 6, -:3, ,
block: 39, +: 11, -:1, ,
block: 40, +: 6, -:3, ,
block: 41, +: 6, -:3, ,
block: 42, +: 2, -:0, ,
block: 43, +: 2, -:0, ,
block: 44, +: 2, -:0, ,
block: 45, +: 2, -:0, ,
block: 46, +: 2, -:0, ,
block: 47, +: 6, -:3, ,
block: 48, +: 12, -:0, ,
block: 49, +: 2, -:0, ,
block: 50, +: 6, -:3, ,
block: 51, +: 6, -:3, ,
block: 52, +: 6, -:3, ,
block: 53, +: 2, -:0, ,
block: 54, +: 5, -:0, ,
block: 55, +: 2, -:0, ,
block: 56, +: 6, -:3, ,
block: 57, +: 6, -:3, ,
block: 58, +: 6, -:3, ,
block: 59, +: 6, -:3, ,
block: 60, +: 6, -:3, ,
block: 61, +: 12, -:0, ,
block: 62, +: 5, -:0, ,
block: 63, +: 12, -:0, ,
block: 64, +: 3, -:2, ,
block: 65, +: 2, -:0, ,
block: 66, +: 12, -:0, ,
block: 67, +: 6, -:3, ,
block: 68, +: 12, -:0, ,
block: 69, +: 6, -:3, ,
block: 70, +: 11, -:1, ,
block: 71, +: 11, -:1, ,
block: 72, +: 2, -:0, ,
block: 73, +: 2, -:0, ,
block: 74, +: 6, -:3, ,
block: 75, +: 2, -:0, ,
block: 76, +: 11, -:1, ,
block: 77, +: 2, -:0, ,
block: 78, +: 12, -:0, ,
block: 79, +: 6, -:3, ,
block: 80, +: 2, -:6, MINUS,
block: 81, +: 10, -:2, ,
block: 82, +: 14, -:7, ,
block: 83, +: 10, -:0, ,
block: 84, +: 10, -:1, ,
block: 85, +: 8, -:3, ,
block: 86, +: 11, -:0, ,
block: 87, +: 12, -:0, ,
block: 88, +: 6, -:3, ,
block: 89, +: 3, -:1, ,
block: 90, +: 8, -:0, ,
block: 91, +: 9, -:0, ,
block: 92, +: 2, -:0, ,
block: 93, +: 12, -:0, ,
block: 94, +: 4, -:3, ,
block: 95, +: 3, -:2, ,
block: 96, +: 10, -:2, ,
block: 97, +: 9, -:1, ,
block: 98, +: 10, -:2, ,
block: 99, +: 6, -:2, ,
block: 100, +: 10, -:2, ,
block: 101, +: 9, -:0, ,
block: 102, +: 5, -:3, ,
block: 103, +: 2, -:0, ,
block: 104, +: 6, -:1, ,
block: 105, +: 8, -:2, ,
block: 106, +: 7, -:0, ,
block: 107, +: 6, -:3, ,
block: 108, +: 6, -:3, ,
block: 109, +: 11, -:1, ,
block: 110, +: 5, -:3, ,
block: 111, +: 8, -:0, ,
block: 112, +: 2, -:0, ,
block: 113, +: 8, -:0, ,
block: 114, +: 3, -:1, ,
block: 115, +: 12, -:0, ,
block: 116, +: 10, -:0, ,
block: 117, +: 8, -:0, ,
block: 118, +: 7, -:2, ,
block: 119, +: 8, -:0, ,
block: 120, +: 6, -:2, ,
block: 121, +: 8, -:4, ,
block: 122, +: 9, -:1, ,
block: 123, +: 7, -:1, ,
block: 124, +: 11, -:1, ,
block: 125, +: 7, -:0, ,
block: 126, +: 11, -:1, ,
block: 127, +: 5, -:3, ,
block: 128, +: 11, -:1, ,
block: 129, +: 8, -:0, ,
block: 130, +: 2, -:2, ,
block: 131, +: 11, -:1, ,
block: 132, +: 4, -:0, ,
block: 133, +: 7, -:2, ,
block: 134, +: 3, -:0, ,
block: 135, +: 6, -:4, ,
block: 136, +: 4, -:2, ,
block: 137, +: 3, -:1, ,
block: 138, +: 4, -:0, ,
block: 139, +: 2, -:4, MINUS,
block: 140, +: 11, -:1, ,
block: 141, +: 4, -:3, ,
block: 142, +: 9, -:2, ,
block: 143, +: 2, -:0, ,
block: 144, +: 4, -:2, ,
block: 145, +: 4, -:0, ,
block: 146, +: 11, -:1, ,
block: 147, +: 6, -:3, ,
block: 148, +: 8, -:0, ,
