/usr/bin/python3.5 /home/meoke/Repos/pang/src/pangenome.py mln -f files/mycoplasma8/mycoplasma_more.hal.maf -format maf -m all -data mycoplasma
Building multialignment from /home/meoke/Repos/pang/tests/files/mycoplasma8/mycoplasma_more.hal.maf...
block: 0, +: 2, -:2, ,
block: 1, +: 2, -:6, MINUS,
block: 2, +: 2, -:6, MINUS,
block: 3, +: 2, -:6, MINUS,
block: 4, +: 2, -:6, MINUS,
block: 5, +: 2, -:6, MINUS,
block: 6, +: 2, -:6, MINUS,
block: 7, +: 2, -:6, MINUS,
block: 8, +: 2, -:6, MINUS,
block: 9, +: 2, -:6, MINUS,
block: 10, +: 2, -:6, MINUS,
block: 11, +: 2, -:6, MINUS,
block: 12, +: 2, -:6, MINUS,
block: 13, +: 2, -:6, MINUS,
block: 14, +: 2, -:6, MINUS,
block: 15, +: 2, -:6, MINUS,
block: 16, +: 2, -:6, MINUS,
block: 17, +: 2, -:6, MINUS,
block: 18, +: 2, -:6, MINUS,
block: 19, +: 2, -:6, MINUS,
block: 20, +: 2, -:6, MINUS,
block: 21, +: 2, -:6, MINUS,
block: 22, +: 2, -:6, MINUS,
block: 23, +: 2, -:6, MINUS,
block: 24, +: 2, -:6, MINUS,
block: 25, +: 2, -:6, MINUS,
block: 26, +: 2, -:6, MINUS,
block: 27, +: 2, -:6, MINUS,
block: 28, +: 2, -:6, MINUS,
block: 29, +: 2, -:6, MINUS,
block: 30, +: 2, -:6, MINUS,
block: 31, +: 2, -:6, MINUS,
block: 32, +: 2, -:6, MINUS,
block: 33, +: 2, -:6, MINUS,
block: 34, +: 2, -:6, MINUS,
block: 35, +: 2, -:6, MINUS,
block: 36, +: 2, -:6, MINUS,
block: 37, +: 2, -:6, MINUS,
block: 38, +: 2, -:6, MINUS,
block: 39, +: 2, -:6, MINUS,
block: 40, +: 2, -:6, MINUS,
block: 41, +: 2, -:6, MINUS,
block: 42, +: 2, -:6, MINUS,
block: 43, +: 2, -:6, MINUS,
block: 44, +: 2, -:6, MINUS,
block: 45, +: 2, -:6, MINUS,
block: 46, +: 2, -:6, MINUS,
block: 47, +: 2, -:6, MINUS,
block: 48, +: 2, -:6, MINUS,
block: 49, +: 2, -:6, MINUS,
block: 50, +: 2, -:6, MINUS,
block: 51, +: 2, -:6, MINUS,
block: 52, +: 2, -:6, MINUS,
block: 53, +: 2, -:6, MINUS,
block: 54, +: 2, -:6, MINUS,
block: 55, +: 2, -:6, MINUS,
block: 56, +: 2, -:6, MINUS,
block: 57, +: 2, -:6, MINUS,
block: 58, +: 2, -:6, MINUS,
block: 59, +: 2, -:6, MINUS,
block: 60, +: 2, -:6, MINUS,
block: 61, +: 2, -:6, MINUS,
block: 62, +: 2, -:6, MINUS,
block: 63, +: 2, -:6, MINUS,
block: 64, +: 2, -:6, MINUS,
block: 65, +: 2, -:6, MINUS,
block: 66, +: 2, -:6, MINUS,
block: 67, +: 1, -:6, MINUS,
