,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_192,C_193,C_191,C_189,C_187,C_185,C_181,C_176,C_177,C_172,C_173,C_166,C_167,C_162,C_163,C_159,C_154,C_155,C_148,C_149,C_142,C_143,C_136,C_137,C_130,C_131,C_123,C_124,C_116,C_117,C_110,C_111,C_104,C_105,C_96,C_97,C_90,C_91,C_87,C_82,C_83,C_76,C_77,C_67,C_68,C_61,C_62,C_55,C_56,C_49,C_50,C_43,C_44,C_39,C_40,C_30,C_31,C_27,C_13,C_14,C_15,C_3
0,0,,AB050936v1,AB050936v1.AB050936v1,Reston_1996,Reston 1989-90,7,0.2020,0.1270,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2020,0.2020,0.2020,0.2020,0.2800,0.2020,0.2840,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.1480,0.1910,0.1920,0.1950,0.1950,0.2890
1,1,,AF086833v2,AF086833v2.AF086833v2,AF086833v2_1976,Zaire(DRC) 1976-7,111,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2850,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2800,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
2,2,,AF272001v1,AF272001v1.AF272001v1,Mayinga_1976,Zaire(DRC) 1976-7,50,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2850,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2790,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
3,3,,AF499101v1,AF499101v1.AF499101v1,Mouse_Mayinga_2002,Zaire(DRC) 1976-7,68,0.2790,0.1300,0.2820,0.2820,0.2830,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2840,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2840,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2790,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
4,4,,AF522874v1,AF522874v1.AF522874v1,Reston_PA_1990,Reston 1989-90,11,0.2030,0.1270,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2830,0.2030,0.2840,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.2030,0.1490,0.1920,0.1930,0.1960,0.1960,0.2940
5,5,,AY142960v1,AY142960v1.AY142960v1,Mayinga_2002,Zaire(DRC) 1976-7,137,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2850,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2800,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
6,6,,AY354458v1,AY354458v1.AY354458v1,Zaire_1995,DRC 2007,97,0.2790,0.1300,0.2820,0.2820,0.2850,0.2790,0.2790,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2850,0.2790,0.2790,0.2840,0.2790,0.2810,0.2790,0.2850,0.2790,0.2850,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2850,0.2790,0.2820,0.2790,0.2870,0.2790,0.2840,0.2790,0.2790,0.2840,0.2790,0.2870,0.2790,0.2850,0.2790,0.2850,0.2790,0.2850,0.2790,0.2850,0.2790,0.2820,0.2820,0.2850,0.2790,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
7,7,,AY729654v1,AY729654v1.AY729654v1,Gulu_Uganda_2000,Sudan 1976-9,20,0.2010,0.1250,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1940,0.2010,0.1940,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1470,0.1890,0.2840,0.2710,0.2730,0.1940
8,8,,AY769362v1,AY769362v1.AY769362v1,reconstructReston_2008,Reston 1989-90,12,0.2020,0.1270,0.2030,0.2030,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2020,0.2020,0.2030,0.2020,0.2800,0.2020,0.2810,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2020,0.2020,0.2030,0.2020,0.2030,0.2030,0.2030,0.2020,0.1480,0.1920,0.1930,0.1950,0.1950,0.2910
9,9,,EU224440v2,EU224440v2.EU224440v2,GuineaPig_Mayinga_2007,Zaire(DRC) 1976-7,40,0.2790,0.1300,0.2820,0.2820,0.2830,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2840,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2840,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2800,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
