,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,CONSENSUS0,CONSENSUS1,CONSENSUS49,CONSENSUS56,CONSENSUS57,CONSENSUS50,CONSENSUS53,CONSENSUS54,CONSENSUS55,CONSENSUS51,CONSENSUS52,CONSENSUS2,CONSENSUS33,CONSENSUS38,CONSENSUS45,CONSENSUS46,CONSENSUS47,CONSENSUS48,CONSENSUS39,CONSENSUS41,CONSENSUS43,CONSENSUS44,CONSENSUS42,CONSENSUS40,CONSENSUS34,CONSENSUS35,CONSENSUS36,CONSENSUS37,CONSENSUS3,CONSENSUS19,CONSENSUS22,CONSENSUS29,CONSENSUS31,CONSENSUS32,CONSENSUS30,CONSENSUS23,CONSENSUS27,CONSENSUS28,CONSENSUS24,CONSENSUS25,CONSENSUS26,CONSENSUS20,CONSENSUS21,CONSENSUS4,CONSENSUS7,CONSENSUS11,CONSENSUS15,CONSENSUS16,CONSENSUS17,CONSENSUS18,CONSENSUS12,CONSENSUS13,CONSENSUS14,CONSENSUS8,CONSENSUS9,CONSENSUS10,CONSENSUS5,CONSENSUS6
0,0,,AB050936,AB050936v1.AB050936v1,Reston_1996,Reston 1989-90,27,0.6364,0.6364,0.6364,0.6364,0.6210,0.6355,0.6355,0.6339,0.6339,0.6355,0.6344,0.5990,0.5713,0.5714,0.5714,0.5714,0.5714,0.5714,0.5713,0.5714,0.5714,0.5713,0.5695,0.5695,0.5732,0.5732,0.5728,0.5739,0.9453,0.9388,0.9149,0.9149,0.9149,0.9149,0.8982,1.0000,1.0000,0.9790,0.9143,0.9143,0.9119,0.8790,0.8467,0.5758,0.5753,0.5753,0.5753,0.5751,0.5754,0.5750,0.5753,0.5753,0.5752,0.5664,0.5664,0.5664,0.3519,0.3416
1,1,,AF086833,AF086833v2.AF086833v2,AF086833v2_1976,Zaire(DRC) 1976-7,53,0.9704,0.9703,0.9703,0.9703,0.9456,0.9998,0.9999,0.9857,0.9872,0.9811,0.9781,0.6342,0.6308,0.6310,0.6310,0.6310,0.6310,0.6310,0.6288,0.6290,0.6290,0.6288,0.6267,0.6241,0.6283,0.6283,0.6294,0.6291,0.6333,0.6308,0.6304,0.6304,0.6304,0.6304,0.6305,0.6332,0.6332,0.6338,0.6328,0.6328,0.6340,0.6062,0.6068,0.6565,0.6556,0.6556,0.6555,0.6554,0.6558,0.6543,0.6567,0.6567,0.6566,0.6453,0.6453,0.6453,0.3947,0.3769
2,2,,AF272001,AF272001v1.AF272001v1,Mayinga_1976,Zaire(DRC) 1976-7,53,0.9699,0.9699,0.9699,0.9699,0.9452,0.9994,0.9994,0.9852,0.9867,0.9806,0.9776,0.6340,0.6307,0.6308,0.6308,0.6309,0.6308,0.6308,0.6287,0.6288,0.6288,0.6287,0.6266,0.6240,0.6281,0.6281,0.6292,0.6290,0.6330,0.6305,0.6301,0.6301,0.6301,0.6301,0.6302,0.6329,0.6329,0.6336,0.6326,0.6326,0.6337,0.6059,0.6067,0.6563,0.6554,0.6554,0.6553,0.6552,0.6556,0.6540,0.6565,0.6565,0.6564,0.6450,0.6450,0.6450,0.3947,0.3770
3,3,,AF499101,AF499101v1.AF499101v1,Mouse_Mayinga_2002,Zaire(DRC) 1976-7,53,0.9699,0.9698,0.9698,0.9698,0.9451,0.9993,0.9993,0.9851,0.9866,0.9806,0.9776,0.6339,0.6306,0.6307,0.6307,0.6308,0.6307,0.6307,0.6286,0.6287,0.6287,0.6286,0.6265,0.6239,0.6280,0.6280,0.6291,0.6289,0.6329,0.6304,0.6300,0.6300,0.6300,0.6300,0.6301,0.6329,0.6329,0.6335,0.6325,0.6325,0.6337,0.6059,0.6065,0.6563,0.6554,0.6554,0.6553,0.6552,0.6556,0.6541,0.6565,0.6565,0.6564,0.6449,0.6449,0.6449,0.3946,0.3768
4,4,,AF522874,AF522874v1.AF522874v1,Reston_PA_1990,Reston 1989-90,31,0.6333,0.6333,0.6333,0.6333,0.6178,0.6326,0.6326,0.6313,0.6310,0.6324,0.6309,0.5998,0.5721,0.5722,0.5722,0.5722,0.5722,0.5722,0.5719,0.5720,0.5720,0.5719,0.5701,0.5705,0.5737,0.5737,0.5739,0.5750,0.9643,0.9723,1.0000,1.0000,1.0000,0.9772,0.9475,0.9148,0.9148,0.9156,0.9082,0.9082,0.9038,0.8587,0.8563,0.5754,0.5749,0.5749,0.5749,0.5747,0.5752,0.5745,0.5740,0.5740,0.5740,0.5660,0.5660,0.5660,0.3493,0.3393
5,5,,AY142960,AY142960v1.AY142960v1,Mayinga_2002,Zaire(DRC) 1976-7,53,0.9704,0.9704,0.9704,0.9704,0.9457,1.0000,0.9999,0.9857,0.9872,0.9811,0.9781,0.6342,0.6309,0.6310,0.6310,0.6311,0.6310,0.6310,0.6289,0.6290,0.6290,0.6289,0.6268,0.6242,0.6284,0.6284,0.6294,0.6291,0.6332,0.6307,0.6303,0.6303,0.6303,0.6303,0.6304,0.6332,0.6332,0.6338,0.6328,0.6328,0.6339,0.6061,0.6068,0.6566,0.6557,0.6557,0.6556,0.6555,0.6559,0.6543,0.6567,0.6567,0.6566,0.6453,0.6453,0.6453,0.3947,0.3770
6,6,,AY354458,AY354458v1.AY354458v1,Zaire_1995,DRC 2007,55,0.9684,0.9683,0.9683,0.9683,0.9436,0.9881,0.9881,0.9899,0.9988,0.9785,0.9755,0.6342,0.6311,0.6312,0.6312,0.6313,0.6312,0.6312,0.6293,0.6294,0.6294,0.6293,0.6271,0.6248,0.6286,0.6286,0.6292,0.6293,0.6326,0.6300,0.6297,0.6297,0.6297,0.6297,0.6294,0.6324,0.6324,0.6329,0.6320,0.6320,0.6331,0.6055,0.6060,0.6569,0.6559,0.6559,0.6558,0.6557,0.6562,0.6547,0.6572,0.6572,0.6571,0.6462,0.6462,0.6462,0.3941,0.3765
7,7,,AY729654,AY729654v1.AY729654v1,Gulu_Uganda_2000,Sudan 1976-9,43,0.6359,0.6359,0.6359,0.6359,0.6202,0.6318,0.6318,0.6316,0.6314,0.6323,0.6310,0.9424,0.9580,0.9580,0.9580,0.9579,0.9579,0.9579,0.9847,0.9999,1.0000,0.9847,0.9641,0.9392,0.8597,0.8597,0.8602,0.8751,0.5747,0.5727,0.5725,0.5725,0.5725,0.5725,0.5713,0.5719,0.5719,0.5725,0.5743,0.5743,0.5753,0.5545,0.5570,0.5721,0.5713,0.5713,0.5713,0.5713,0.5713,0.5711,0.5737,0.5737,0.5736,0.5610,0.5610,0.5610,0.3512,0.3421
8,8,,AY769362,AY769362v1.AY769362v1,reconstructReston_2008,Reston 1989-90,30,0.6331,0.6330,0.6330,0.6330,0.6176,0.6325,0.6325,0.6307,0.6306,0.6323,0.6308,0.5982,0.5708,0.5709,0.5709,0.5709,0.5709,0.5709,0.5706,0.5707,0.5707,0.5706,0.5690,0.5694,0.5716,0.5716,0.5718,0.5728,0.9274,0.9275,0.9473,0.9473,0.9473,0.9473,1.0000,0.8980,0.8980,0.8988,0.8890,0.8890,0.8858,0.8568,0.8528,0.5766,0.5760,0.5760,0.5761,0.5759,0.5762,0.5758,0.5749,0.5749,0.5748,0.5644,0.5644,0.5644,0.3497,0.3388
9,9,,EU224440,EU224440v2.EU224440v2,GuineaPig_Mayinga_2007,Zaire(DRC) 1976-7,53,0.9695,0.9695,0.9695,0.9695,0.9449,0.9987,0.9987,0.9848,0.9865,0.9803,0.9771,0.6338,0.6304,0.6306,0.6306,0.6306,0.6306,0.6306,0.6284,0.6286,0.6286,0.6284,0.6262,0.6237,0.6278,0.6278,0.6289,0.6286,0.6332,0.6307,0.6303,0.6303,0.6303,0.6303,0.6304,0.6332,0.6332,0.6338,0.6328,0.6328,0.6340,0.6062,0.6068,0.6564,0.6555,0.6555,0.6554,0.6553,0.6557,0.6541,0.6564,0.6564,0.6563,0.6451,0.6451,0.6451,0.3947,0.3769
10,10,,EU338380,EU338380v1.EU338380v1,Yambio_2004,Sudan 1976-9,36,0.6363,0.6364,0.6364,0.6364,0.6202,0.6322,0.6322,0.6315,0.6310,0.6320,0.6321,0.8633,0.8597,0.8597,0.8597,0.8596,0.8595,0.8595,0.8602,0.8602,0.8602,0.8602,0.8575,0.8443,0.9723,0.9723,1.0000,0.9516,0.5759,0.5741,0.5744,0.5744,0.5744,0.5744,0.5724,0.5733,0.5733,0.5735,0.5756,0.5756,0.5761,0.5555,0.5582,0.5734,0.5726,0.5726,0.5726,0.5725,0.5730,0.5721,0.5740,0.5740,0.5739,0.5655,0.5655,0.5655,0.3514,0.3419
11,11,,FJ217161,FJ217161v1.FJ217161v1,Bundibugyo_Uganda_2007,Bundibugyo 2007,13,0.6599,0.6598,0.6598,0.6598,0.6441,0.6574,0.6574,0.6563,0.6570,0.6583,0.6564,0.5836,0.5721,0.5723,0.5723,0.5722,0.5723,0.5722,0.5715,0.5717,0.5717,0.5715,0.5689,0.5698,0.5718,0.5718,0.5720,0.5715,0.5750,0.5732,0.5725,0.5725,0.5725,0.5725,0.5735,0.5738,0.5738,0.5740,0.5736,0.5736,0.5740,0.5543,0.5568,0.9318,0.9150,0.9150,0.9149,0.9150,0.9184,0.9270,1.0000,1.0000,0.9822,0.6379,0.6379,0.6379,0.3565,0.3457
12,12,,FJ217162,FJ217162v1.FJ217162v1,Cote_dIvoire_CIEBOV_1994,Bundibugyo 2007,9,0.6480,0.6480,0.6480,0.6480,0.6320,0.6462,0.6462,0.6453,0.6461,0.6463,0.6465,0.5653,0.5603,0.5604,0.5604,0.5605,0.5605,0.5604,0.5592,0.5592,0.5592,0.5592,0.5582,0.5591,0.5633,0.5633,0.5637,0.5626,0.5657,0.5637,0.5647,0.5647,0.5647,0.5647,0.5632,0.5651,0.5651,0.5653,0.5633,0.5633,0.5636,0.5471,0.5462,0.6374,0.6374,0.6374,0.6373,0.6372,0.6380,0.6373,0.6380,0.6380,0.6380,1.0000,1.0000,0.9497,0.3568,0.3442
13,13,,FJ621583,FJ621583v1.FJ621583v1,Reston08-A_2008,Reston 1989-90,25,0.6367,0.6367,0.6367,0.6367,0.6215,0.6352,0.6352,0.6336,0.6335,0.6355,0.6338,0.6012,0.5743,0.5744,0.5744,0.5744,0.5744,0.5744,0.5738,0.5739,0.5739,0.5738,0.5718,0.5722,0.5751,0.5751,0.5753,0.5757,0.9322,0.9299,0.9084,0.9084,0.9084,0.9084,0.8894,0.9145,0.9145,0.9159,1.0000,1.0000,0.9754,0.8551,0.8457,0.5765,0.5760,0.5760,0.5760,0.5757,0.5763,0.5755,0.5752,0.5752,0.5751,0.5647,0.5647,0.5647,0.3517,0.3421
