,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_0,C_1,C_30,C_31,C_32,C_33,C_34,C_2,C_21,C_26,C_27,C_28,C_29,C_22,C_23,C_24,C_25,C_3,C_12,C_19,C_20,C_13,C_14,C_17,C_18,C_15,C_16,C_4,C_8,C_10,C_11,C_9,C_5,C_6,C_7
0,0,,AB050936,AB050936v1.AB050936v1,Reston_1996,Reston 1989-90,13,0.6479,0.6479,0.6479,0.6469,0.6469,0.6453,0.6458,0.5817,0.5817,0.5817,0.5817,0.5798,0.5798,0.5836,0.5836,0.5843,0.5832,0.9485,0.9314,0.9314,0.9144,1.0000,0.9309,0.9309,0.9284,0.8949,0.8620,0.5857,0.5857,0.5857,0.5854,0.5857,0.5767,0.3478,0.3582
1,1,,AF086833,AF086833v2.AF086833v2,AF086833v2_1976,Zaire(DRC) 1976-7,31,0.9705,0.9704,0.9704,0.9999,0.9812,0.9858,0.9782,0.6311,0.6311,0.6311,0.6291,0.6242,0.6268,0.6284,0.6284,0.6292,0.6294,0.6309,0.6304,0.6304,0.6305,0.6333,0.6329,0.6329,0.6341,0.6062,0.6069,0.6557,0.6557,0.6556,0.6543,0.6567,0.6454,0.3770,0.3947
2,2,,AF272001,AF272001v1.AF272001v1,Mayinga_1976,Zaire(DRC) 1976-7,31,0.9700,0.9700,0.9700,0.9995,0.9807,0.9853,0.9777,0.6309,0.6309,0.6309,0.6289,0.6240,0.6266,0.6282,0.6282,0.6291,0.6293,0.6306,0.6302,0.6302,0.6303,0.6331,0.6326,0.6326,0.6338,0.6060,0.6067,0.6555,0.6555,0.6554,0.6541,0.6565,0.6451,0.3770,0.3948
3,3,,AF499101,AF499101v1.AF499101v1,Mouse_Mayinga_2002,Zaire(DRC) 1976-7,31,0.9700,0.9699,0.9699,0.9994,0.9807,0.9852,0.9777,0.6308,0.6308,0.6308,0.6288,0.6240,0.6265,0.6281,0.6281,0.6289,0.6291,0.6306,0.6301,0.6301,0.6302,0.6330,0.6326,0.6326,0.6338,0.6059,0.6066,0.6555,0.6555,0.6554,0.6541,0.6566,0.6450,0.3769,0.3946
4,4,,AF522874,AF522874v1.AF522874v1,Reston_PA_1990,Reston 1989-90,19,0.6480,0.6480,0.6480,0.6473,0.6471,0.6460,0.6456,0.5856,0.5856,0.5856,0.5853,0.5838,0.5834,0.5870,0.5870,0.5884,0.5873,0.9822,1.0000,1.0000,0.9696,0.9362,0.9294,0.9294,0.9249,0.8787,0.8762,0.5883,0.5883,0.5883,0.5878,0.5874,0.5792,0.3472,0.3575
5,5,,AY142960,AY142960v1.AY142960v1,Mayinga_2002,Zaire(DRC) 1976-7,31,0.9705,0.9705,0.9705,1.0000,0.9812,0.9858,0.9782,0.6311,0.6311,0.6311,0.6291,0.6243,0.6268,0.6284,0.6284,0.6292,0.6295,0.6308,0.6304,0.6304,0.6305,0.6333,0.6329,0.6329,0.6340,0.6062,0.6068,0.6557,0.6557,0.6556,0.6544,0.6568,0.6454,0.3770,0.3948
6,6,,AY354458,AY354458v1.AY354458v1,Zaire_1995,DRC 2007,33,0.9685,0.9685,0.9685,0.9883,0.9786,0.9900,0.9757,0.6313,0.6313,0.6313,0.6295,0.6249,0.6272,0.6287,0.6287,0.6294,0.6293,0.6303,0.6298,0.6298,0.6295,0.6325,0.6321,0.6321,0.6332,0.6056,0.6061,0.6560,0.6560,0.6559,0.6548,0.6573,0.6463,0.3765,0.3941
7,7,,AY729654,AY729654v1.AY729654v1,Gulu_Uganda_2000,Sudan 1976-9,27,0.6456,0.6456,0.6456,0.6415,0.6419,0.6413,0.6406,0.9726,0.9726,0.9726,1.0000,0.9535,0.9788,0.8728,0.8728,0.8884,0.8733,0.5812,0.5812,0.5812,0.5801,0.5807,0.5831,0.5831,0.5840,0.5630,0.5655,0.5801,0.5801,0.5801,0.5799,0.5824,0.5696,0.3473,0.3565
8,8,,AY769362,AY769362v1.AY769362v1,reconstructReston_2008,Reston 1989-90,20,0.6470,0.6469,0.6469,0.6464,0.6462,0.6446,0.6447,0.5835,0.5835,0.5835,0.5833,0.5819,0.5815,0.5842,0.5842,0.5854,0.5843,0.9542,0.9681,0.9681,1.0000,0.9177,0.9085,0.9085,0.9053,0.8756,0.8715,0.5887,0.5887,0.5887,0.5885,0.5875,0.5768,0.3462,0.3573
9,9,,EU224440,EU224440v2.EU224440v2,GuineaPig_Mayinga_2007,Zaire(DRC) 1976-7,31,0.9696,0.9696,0.9696,0.9988,0.9804,0.9849,0.9772,0.6306,0.6306,0.6306,0.6286,0.6238,0.6263,0.6278,0.6278,0.6287,0.6289,0.6308,0.6304,0.6304,0.6305,0.6333,0.6329,0.6329,0.6341,0.6063,0.6069,0.6555,0.6555,0.6554,0.6542,0.6565,0.6451,0.3770,0.3948
10,10,,EU338380,EU338380v1.EU338380v1,Yambio_2004,Sudan 1976-9,25,0.6411,0.6411,0.6411,0.6369,0.6367,0.6362,0.6367,0.8660,0.8660,0.8660,0.8666,0.8506,0.8638,0.9795,0.9795,0.9586,1.0000,0.5789,0.5787,0.5787,0.5766,0.5776,0.5799,0.5799,0.5804,0.5596,0.5623,0.5769,0.5769,0.5769,0.5763,0.5782,0.5697,0.3444,0.3540
11,11,,FJ217161,FJ217161v1.FJ217161v1,Bundibugyo_Uganda_2007,Bundibugyo 2007,9,0.6717,0.6717,0.6717,0.6692,0.6701,0.6681,0.6682,0.5826,0.5826,0.5826,0.5820,0.5800,0.5791,0.5820,0.5820,0.5817,0.5823,0.5831,0.5828,0.5828,0.5838,0.5841,0.5839,0.5839,0.5843,0.5642,0.5668,0.9314,0.9314,0.9313,0.9437,1.0000,0.6493,0.3519,0.3629
12,12,,FJ217162,FJ217162v1.FJ217162v1,Cote_dIvoire_CIEBOV_1994,Bundibugyo 2007,5,0.6823,0.6823,0.6823,0.6804,0.6805,0.6795,0.6807,0.5901,0.5901,0.5901,0.5888,0.5887,0.5877,0.5932,0.5932,0.5924,0.5935,0.5941,0.5946,0.5946,0.5931,0.5951,0.5931,0.5931,0.5934,0.5760,0.5751,0.6711,0.6711,0.6711,0.6711,0.6718,1.0000,0.3625,0.3757
13,13,,FJ621583,FJ621583v1.FJ621583v1,Reston08-A_2008,Reston 1989-90,17,0.6484,0.6484,0.6484,0.6468,0.6471,0.6452,0.6454,0.5849,0.5849,0.5849,0.5844,0.5827,0.5822,0.5856,0.5856,0.5863,0.5858,0.9405,0.9250,0.9250,0.9057,0.9313,1.0000,1.0000,0.9933,0.8707,0.8611,0.5865,0.5865,0.5865,0.5860,0.5857,0.5750,0.3483,0.3582
